id;name;nft_id;total_parts;purchase_price;admin_fees;tokenization_cost;maintenance_provision;management_margin
1;Arabie deposit Berkshire;facilitate Towels;26891;34467;21563;70152;35394;70175
2;architect;reinvent Right-sized;17182;45327;56149;52342;69068;75402
3;parse Health;open-source non-volatile throughput;32403;6715;84688;95589;63743;27784
4;web-readiness;d'Abbeville;53169;14714;34767;56041;60443;96935
5;deposit orchestrate;Rustic program;81254;27812;63536;82638;51337;6822
6;b algorithm;la synthesizing Practical;61791;44433;93487;30772;19288;82803
7;attitude Profound Berkshire;Midi-Pyrénées;33552;9860;60997;97610;39182;51996
8;Sleek;user-centric b Ingenieur;79169;86858;23680;14503;12328;21427
9;Haute-Normandie Handmade;defect;30553;92024;11642;6676;2445;8193
10;EXE standardization;Languedoc-Roussillon Ergonomic deposit;91207;69328;8541;30116;60974;80710
