id;date_debut;date_fin;statut;frais_appliques
1;2025-07-03T07:46:49;2025-07-03T07:34:44;EN_ATTENTE_SIGNATURE;83529
2;2025-07-03T04:19:27;2025-07-02T14:08:49;TERMINE;7606
3;2025-07-02T21:57:16;2025-07-02T22:49:13;SIGNE;43881
4;2025-07-03T04:51:57;2025-07-03T05:19:08;TERMINE;13703
5;2025-07-03T01:43:22;2025-07-02T23:01:24;EN_ATTENTE_SIGNATURE;17209
6;2025-07-02T16:20:36;2025-07-02T18:48:19;EN_ATTENTE_SIGNATURE;13252
7;2025-07-03T06:21:21;2025-07-02T13:04:25;TERMINE;26460
8;2025-07-02T16:35:43;2025-07-02T15:42:40;SIGNE;50830
9;2025-07-02T22:29:20;2025-07-02T23:36:54;TERMINE;7660
10;2025-07-02T22:37:31;2025-07-02T21:07:56;TERMINE;20978
