id;marque;modele;description;tarif_journalier;disponible
1;SMS Shoes;Vision-oriented;Operative 1080p;6048;false
2;c Chicken;overriding;Bedfordshire silver;99308;false
3;invoice backing;index Architecte JSON;Riyal programming;84161;true
4;Montorgueil gold;Champagne-Ardenne SDD;bus Tugrik knowledge;82115;true
5;c mobile Aquitaine;Home;Bacon;77184;false
6;a;Alsace;Mouse Pizza Charlemagne;12240;true
7;green;parse Tasty deposit;needs-based;74625;true
8;synthesizing Electronics;Stagiaire drive Cloned;client-server;59250;false
9;b auxiliary;structure Decentralized override;Multi-channelled Metal interface;74584;true
10;invoice Account;compress;Unbranded;6801;false
